"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037599100, CA","06037599100","=""06037599100""","42.68"
"06037930301, CA","06037930301","=""06037930301""","10.26"
"06037920102, CA","06037920102","=""06037920102""","3.43"
"06037901209, CA","06037901209","=""06037901209""","12.72"
"06037900102, CA","06037900102","=""06037900102""","18.25"
"06037911001, CA","06037911001","=""06037911001""","14.31"
"06037910811, CA","06037910811","=""06037910811""","9.76"
"06037930200, CA","06037930200","=""06037930200""","34.01"
"06037900201, CA","06037900201","=""06037900201""","17.81"
"06037900900, CA","06037900900","=""06037900900""","11.17"
"06037990200, CA","06037990200","=""06037990200""","N/A"
"06037980003, CA","06037980003","=""06037980003""","N/A"
"06037990100, CA","06037990100","=""06037990100""","N/A"
"06037920011, CA","06037920011","=""06037920011""","0.00"
"06037920104, CA","06037920104","=""06037920104""","2.94"
"06037930101, CA","06037930101","=""06037930101""","0.00"
"06037990300, CA","06037990300","=""06037990300""","N/A"
"06037910805, CA","06037910805","=""06037910805""","12.48"
"06037800406, CA","06037800406","=""06037800406""","6.01"
"06037910813, CA","06037910813","=""06037910813""","8.38"
"06037910001, CA","06037910001","=""06037910001""","17.69"
"06037910002, CA","06037910002","=""06037910002""","12.90"
"06037920012, CA","06037920012","=""06037920012""","6.03"
"06037920326, CA","06037920326","=""06037920326""","2.13"
"06037910804, CA","06037910804","=""06037910804""","15.25"
"06037901213, CA","06037901213","=""06037901213""","3.97"
"06037910101, CA","06037910101","=""06037910101""","12.33"
"06037900300, CA","06037900300","=""06037900300""","17.37"
"06037800102, CA","06037800102","=""06037800102""","1.75"
"06037920303, CA","06037920303","=""06037920303""","10.45"
"06037910206, CA","06037910206","=""06037910206""","3.60"
"06037901205, CA","06037901205","=""06037901205""","5.67"
"06037920106, CA","06037920106","=""06037920106""","6.56"
"06037980004, CA","06037980004","=""06037980004""","N/A"
"06037980019, CA","06037980019","=""06037980019""","0.00"
"06037900104, CA","06037900104","=""06037900104""","8.07"
"06037800326, CA","06037800326","=""06037800326""","7.91"
"06037800410, CA","06037800410","=""06037800410""","3.38"
"06037920339, CA","06037920339","=""06037920339""","1.17"
"06037910812, CA","06037910812","=""06037910812""","12.23"
"06037910205, CA","06037910205","=""06037910205""","6.46"
"06037800506, CA","06037800506","=""06037800506""","6.50"
"06037980033, CA","06037980033","=""06037980033""","0.00"
"06037800330, CA","06037800330","=""06037800330""","8.87"
"06037800202, CA","06037800202","=""06037800202""","7.96"
"06037980031, CA","06037980031","=""06037980031""","0.00"
"06037404600, CA","06037404600","=""06037404600""","11.73"
"06037800504, CA","06037800504","=""06037800504""","8.00"
