"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037599100, CA","06037599100","=""06037599100""","0.00"
"06037930301, CA","06037930301","=""06037930301""","7.69"
"06037920102, CA","06037920102","=""06037920102""","8.75"
"06037901209, CA","06037901209","=""06037901209""","17.31"
"06037900102, CA","06037900102","=""06037900102""","45.99"
"06037911001, CA","06037911001","=""06037911001""","16.62"
"06037910811, CA","06037910811","=""06037910811""","0.00"
"06037930200, CA","06037930200","=""06037930200""","7.48"
"06037900201, CA","06037900201","=""06037900201""","27.79"
"06037900900, CA","06037900900","=""06037900900""","15.94"
"06037990200, CA","06037990200","=""06037990200""","N/A"
"06037980003, CA","06037980003","=""06037980003""","N/A"
"06037990100, CA","06037990100","=""06037990100""","N/A"
"06037920011, CA","06037920011","=""06037920011""","14.89"
"06037920104, CA","06037920104","=""06037920104""","2.47"
"06037930101, CA","06037930101","=""06037930101""","0.00"
"06037990300, CA","06037990300","=""06037990300""","N/A"
"06037910805, CA","06037910805","=""06037910805""","8.75"
"06037800406, CA","06037800406","=""06037800406""","3.98"
"06037910813, CA","06037910813","=""06037910813""","12.25"
"06037910001, CA","06037910001","=""06037910001""","18.00"
"06037910002, CA","06037910002","=""06037910002""","9.02"
"06037920012, CA","06037920012","=""06037920012""","11.21"
"06037920326, CA","06037920326","=""06037920326""","6.05"
"06037910804, CA","06037910804","=""06037910804""","4.40"
"06037901213, CA","06037901213","=""06037901213""","6.35"
"06037910101, CA","06037910101","=""06037910101""","14.13"
"06037900300, CA","06037900300","=""06037900300""","13.21"
"06037800102, CA","06037800102","=""06037800102""","4.24"
"06037920303, CA","06037920303","=""06037920303""","0.96"
"06037910206, CA","06037910206","=""06037910206""","3.22"
"06037901205, CA","06037901205","=""06037901205""","11.51"
"06037920106, CA","06037920106","=""06037920106""","3.50"
"06037980004, CA","06037980004","=""06037980004""","N/A"
"06037980019, CA","06037980019","=""06037980019""","0.00"
"06037900104, CA","06037900104","=""06037900104""","11.67"
"06037800326, CA","06037800326","=""06037800326""","1.97"
"06037800410, CA","06037800410","=""06037800410""","3.21"
"06037920339, CA","06037920339","=""06037920339""","1.80"
"06037910812, CA","06037910812","=""06037910812""","23.02"
"06037910205, CA","06037910205","=""06037910205""","17.70"
"06037800506, CA","06037800506","=""06037800506""","0.00"
"06037980033, CA","06037980033","=""06037980033""","100.00"
"06037800330, CA","06037800330","=""06037800330""","3.67"
