"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037599100, CA","06037599100","=""06037599100""","0.00"
"06037930301, CA","06037930301","=""06037930301""","4.62"
"06037920102, CA","06037920102","=""06037920102""","1.50"
"06037901209, CA","06037901209","=""06037901209""","9.72"
"06037900102, CA","06037900102","=""06037900102""","10.22"
"06037911001, CA","06037911001","=""06037911001""","3.89"
"06037910811, CA","06037910811","=""06037910811""","0.00"
"06037930200, CA","06037930200","=""06037930200""","8.84"
"06037900201, CA","06037900201","=""06037900201""","4.51"
"06037900900, CA","06037900900","=""06037900900""","1.64"
"06037990200, CA","06037990200","=""06037990200""","N/A"
"06037980003, CA","06037980003","=""06037980003""","N/A"
"06037990100, CA","06037990100","=""06037990100""","N/A"
"06037920011, CA","06037920011","=""06037920011""","0.00"
"06037920104, CA","06037920104","=""06037920104""","0.00"
"06037930101, CA","06037930101","=""06037930101""","0.00"
"06037990300, CA","06037990300","=""06037990300""","N/A"
"06037910805, CA","06037910805","=""06037910805""","1.09"
"06037800406, CA","06037800406","=""06037800406""","2.65"
"06037910813, CA","06037910813","=""06037910813""","3.56"
"06037910001, CA","06037910001","=""06037910001""","8.59"
"06037910002, CA","06037910002","=""06037910002""","8.42"
"06037920012, CA","06037920012","=""06037920012""","2.37"
"06037920326, CA","06037920326","=""06037920326""","0.00"
"06037910804, CA","06037910804","=""06037910804""","7.67"
"06037901213, CA","06037901213","=""06037901213""","1.75"
"06037910101, CA","06037910101","=""06037910101""","16.14"
"06037900300, CA","06037900300","=""06037900300""","2.77"
"06037800102, CA","06037800102","=""06037800102""","0.56"
"06037920303, CA","06037920303","=""06037920303""","1.29"
"06037910206, CA","06037910206","=""06037910206""","0.76"
"06037901205, CA","06037901205","=""06037901205""","1.37"
"06037920106, CA","06037920106","=""06037920106""","0.00"
"06037980004, CA","06037980004","=""06037980004""","N/A"
"06037980019, CA","06037980019","=""06037980019""","0.00"
"06037900104, CA","06037900104","=""06037900104""","3.83"
"06037800326, CA","06037800326","=""06037800326""","0.49"
"06037800410, CA","06037800410","=""06037800410""","0.00"
"06037920339, CA","06037920339","=""06037920339""","1.17"
"06037910812, CA","06037910812","=""06037910812""","0.00"
"06037910205, CA","06037910205","=""06037910205""","9.57"
"06037800506, CA","06037800506","=""06037800506""","0.00"
"06037980033, CA","06037980033","=""06037980033""","0.00"
"06037800330, CA","06037800330","=""06037800330""","3.67"
"06037800202, CA","06037800202","=""06037800202""","0.68"
"06037980031, CA","06037980031","=""06037980031""","0.00"
"06037404600, CA","06037404600","=""06037404600""","10.97"
"06037800504, CA","06037800504","=""06037800504""","4.70"
"06037430301, CA","06037430301","=""06037430301""","3.77"
"06037910810, CA","06037910810","=""06037910810""","2.37"
"06037400205, CA","06037400205","=""06037400205""","0.00"
"06037901210, CA","06037901210","=""06037901210""","0.47"
"06037800329, CA","06037800329","=""06037800329""","1.31"
"06037800408, CA","06037800408","=""06037800408""","2.43"
"06037910706, CA","06037910706","=""06037910706""","4.96"
"06037670602, CA","06037670602","=""06037670602""","1.12"
"06037980009, CA","06037980009","=""06037980009""","N/A"
"06037910202, CA","06037910202","=""06037910202""","0.44"
"06037900103, CA","06037900103","=""06037900103""","1.85"
"06037980028, CA","06037980028","=""06037980028""","N/A"
"06037920043, CA","06037920043","=""06037920043""","2.28"
"06037408703, CA","06037408703","=""06037408703""","0.62"
"06037400404, CA","06037400404","=""06037400404""","0.00"
"06037403325, CA","06037403325","=""06037403325""","0.00"
"06037106603, CA","06037106603","=""06037106603""","0.00"
"06037910709, CA","06037910709","=""06037910709""","8.65"
"06037910201, CA","06037910201","=""06037910201""","17.38"
"06037980026, CA","06037980026","=""06037980026""","N/A"
"06037300701, CA","06037300701","=""06037300701""","2.79"
"06037901004, CA","06037901004","=""06037901004""","0.56"
"06037310100, CA","06037310100","=""06037310100""","0.00"
"06037262301, CA","06037262301","=""06037262301""","2.91"
"06037102107, CA","06037102107","=""06037102107""","0.67"
"06037400403, CA","06037400403","=""06037400403""","3.72"
"06037532400, CA","06037532400","=""06037532400""","9.52"
"06037920312, CA","06037920312","=""06037920312""","3.81"
"06037920026, CA","06037920026","=""06037920026""","3.96"
"06037920032, CA","06037920032","=""06037920032""","0.97"
"06037910809, CA","06037910809","=""06037910809""","0.00"
"06037430003, CA","06037430003","=""06037430003""","1.49"
"06037401304, CA","06037401304","=""06037401304""","3.25"
"06037408402, CA","06037408402","=""06037408402""","1.17"
"06037920107, CA","06037920107","=""06037920107""","1.26"
"06037300702, CA","06037300702","=""06037300702""","2.96"
"06037920200, CA","06037920200","=""06037920200""","N/A"
"06037920314, CA","06037920314","=""06037920314""","3.21"
"06037262400, CA","06037262400","=""06037262400""","1.36"
"06037920020, CA","06037920020","=""06037920020""","0.86"
"06037400501, CA","06037400501","=""06037400501""","0.76"
"06037910808, CA","06037910808","=""06037910808""","1.02"
"06037900504, CA","06037900504","=""06037900504""","3.04"
"06037408202, CA","06037408202","=""06037408202""","5.54"
"06037800203, CA","06037800203","=""06037800203""","0.00"
"06037910401, CA","06037910401","=""06037910401""","2.45"
"06037500100, CA","06037500100","=""06037500100""","2.75"
"06037800328, CA","06037800328","=""06037800328""","3.69"
"06037501600, CA","06037501600","=""06037501600""","0.62"
"06037800204, CA","06037800204","=""06037800204""","0.00"
"06037139702, CA","06037139702","=""06037139702""","0.63"
"06037403324, CA","06037403324","=""06037403324""","1.75"
"06037920034, CA","06037920034","=""06037920034""","0.74"
"06037500300, CA","06037500300","=""06037500300""","5.34"
"06037400603, CA","06037400603","=""06037400603""","5.21"
"06037262100, CA","06037262100","=""06037262100""","0.97"
"06037262200, CA","06037262200","=""06037262200""","1.36"
"06037980020, CA","06037980020","=""06037980020""","N/A"
"06037543305, CA","06037543305","=""06037543305""","11.88"
"06037920013, CA","06037920013","=""06037920013""","1.48"
"06037532304, CA","06037532304","=""06037532304""","11.74"
"06037980024, CA","06037980024","=""06037980024""","0.00"
"06037800101, CA","06037800101","=""06037800101""","0.00"
"06037261102, CA","06037261102","=""06037261102""","0.00"
"06037408211, CA","06037408211","=""06037408211""","9.50"
"06037670500, CA","06037670500","=""06037670500""","0.52"
"06037261200, CA","06037261200","=""06037261200""","2.62"
"06037460501, CA","06037460501","=""06037460501""","0.91"
"06037121102, CA","06037121102","=""06037121102""","6.54"
"06037532303, CA","06037532303","=""06037532303""","10.90"
"06037400204, CA","06037400204","=""06037400204""","0.67"
"06037920116, CA","06037920116","=""06037920116""","2.01"
"06037460700, CA","06037460700","=""06037460700""","0.00"
"06037103200, CA","06037103200","=""06037103200""","1.98"
"06037980014, CA","06037980014","=""06037980014""","N/A"
"06037980018, CA","06037980018","=""06037980018""","N/A"
"06037113211, CA","06037113211","=""06037113211""","1.01"
"06037500201, CA","06037500201","=""06037500201""","1.00"
"06037403312, CA","06037403312","=""06037403312""","4.81"
"06037980021, CA","06037980021","=""06037980021""","N/A"
"06037300901, CA","06037300901","=""06037300901""","0.00"
"06037502700, CA","06037502700","=""06037502700""","6.32"
"06037980002, CA","06037980002","=""06037980002""","N/A"
"06037910707, CA","06037910707","=""06037910707""","13.51"
"06037460000, CA","06037460000","=""06037460000""","0.00"
"06037460800, CA","06037460800","=""06037460800""","0.00"
"06037670702, CA","06037670702","=""06037670702""","0.64"
"06037403321, CA","06037403321","=""06037403321""","2.74"
"06037261101, CA","06037261101","=""06037261101""","2.53"
"06037433802, CA","06037433802","=""06037433802""","10.73"
"06037504102, CA","06037504102","=""06037504102""","N/A"
"06037920031, CA","06037920031","=""06037920031""","1.91"
"06037500202, CA","06037500202","=""06037500202""","2.67"
"06037101400, CA","06037101400","=""06037101400""","2.36"
